symbol,address,volatility,ml_score,whale_score,social_score,confidence_score,risk_profile,dynamic_stop_loss,tp1,tp2,tp3,tp4,exit_pct_tp1,exit_pct_tp2,exit_pct_tp3,exit_pct_tp4,expected_return,risk_reward_ratio,updated_at
DETECTIVE,14GMPMf3cRANLfJ9QYU19F5XogVGPjCB7f3NLACrpump,0.7094165465076858,2083.807864469689,78.4,50,873.4631457878755,conservative,0.08,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,6.25,2025-11-12T08:41:26.109334
PILL,2JaJ353mgRVrGbrxsvHr17hseGtf1kD4ixErXGcNP1LL,0.041118608533257,1461.9934572741845,53.6,50,616.0573829096738,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-12T08:41:26.109864
NeverDie,2Jz5Wf6PGs4x1dJH4FvfMcgEERTmPadLBDsFmtyCpump,0.0209137125580245,1468.9316397019081,50.7,50,617.8176558807633,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-12T08:41:26.110384
T-2049,2UfyNHveDrYDogW1LypkworjhYVEte8tLDqRTZbguPLx,0.702038983096715,1078.1623437782332,41.0,50,458.11493751129336,conservative,0.08,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,6.25,2025-11-12T08:41:26.110733
67,2sjdF9vLNWkTpK2XgY2kVWCL4YTMu6vaVA4VxrzUpump,0.512403618311858,914.8698205109409,75.2,50,404.7679282043764,conservative,0.08,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,6.25,2025-11-12T08:41:26.111063
walkusa,3BrXeqzNKUKsM6MgkWFZX4E2cY8SiwYNwwmVzP2Rpump,0.2063032258089764,2361.9357121281973,66.9,50,980.6892848512789,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-12T08:41:26.111444
Gaming,3hiutVNCbwCY1vmoPKdXtMtuzg4epn1WzuU1jgpHpump,0.0020317358599284,0.0,49.3,50,29.755,conservative,0.13674902797187938,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.656333119258576,2025-11-12T08:41:26.111758
PUMPFOLIO,3iE3HmcrKQyNdqoVo4Xrjz291VvtcKtUgJnQDxUepump,0.2,0.0,50.0,50,30.0,conservative,0.15015,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.33000333000333,2025-11-12T08:41:26.112025
YOU,3nJXYRGSFdfhVAg48cLE3iF3Hhda4CXqTt9XS56Mpump,0.0475931167834934,0.0,46.3,50,28.705,conservative,0.14034484766487623,0.25,0.5,0.75,1.0,0.4,0.3,0.2,0.1,0.5,3.5626530529565983,2025-11-12T08:41:26.112365
HAROLD,3vgopg7xm3EWkXfxmWPUpcf7g939hecfqg18sLuXDzVt,0.0361012066763102,968.3271216618172,50.0,50,417.3308486647269,aggressive,0.08,0.5,1.0,2.0,3.0,0.3,0.3,0.25,0.15,1.4,17.5,2025-11-12T08:41:26.112632
